Car Make,Car Model,Price,Fuel Type,Transmission Type,Available Color Variants Count,Available Colors (Detailed),Location Details
Tata,Nexon EV Fearless 45,₹15.87 L,Electric,Automatic,Available in 4 colors,"Pristine White With Black Roof (#ecedef, #000000); Flame Red With Black Roof (#6e1618, #000000); Daytona Grey With Black Roof (#38393b, #000000); Fearless Purple With Black Roof (#221461, #000000)",N/A
Tata,Nexon EV Fearless Plus LR,₹15.99 L,Electric,Automatic,Available in 3 colors,"Fearless Purple With Black Roof (#221461, #191e24); Flame Red With Black Roof (#901e12, #191e24); Daytona Grey With Black Roof (#40454b, #191e24)",N/A
Tata,Nexon EV Fearless Plus S LR,₹16.20 L,Electric,Automatic,Available in 3 colors,"Fearless Purple With Black Roof (#221461, #191e24); Flame Red With Black Roof (#901e12, #191e24); Daytona Grey With Black Roof (#40454b, #191e24)",N/A
Tata,Nexon EV Empowered 45,₹16.91 L,Electric,Automatic,Available in 4 colors,"Empowered Oxide With Black Roof (#acadb2, #000000); Intensi Teal With Black Roof (#00486e, #000000); Flame Red With Black Roof (#6e1618, #000000); Daytona Grey With Black Roof (#38393b, #000000)",N/A
Tata,Nexon EV Empowered Plus LR,₹17.24 L,Electric,Automatic,Available in 4 colors,"Intensi Teal With Black Roof (#00486e, #191e24); Flame Red With Black Roof (#901e12, #191e24); Daytona Grey With Black Roof (#40454b, #191e24); Empowered Oxide With Black Roof (#acadb2, #191e24)",N/A
Tata,Nexon EV Empowered Plus 45 Red Dark Edition,₹18.15 L,Electric,Automatic,Available in 1 colors,Empowered Dark (#000000),N/A
Tata,Nexon EV Creative 45,₹14.84 L,Electric,Automatic,Available in 4 colors,"Creative Ocean With White Roof (#3d7479, #ebebeb); Flame Red With White Roof (#6e1618, #ecedef); Daytona Grey With White Roof (#38393b, #ecedef); Pristine White (#ecedef, #ecedef)",N/A
Tata,Harrier Pure Plus S,₹21.64 L,Diesel,Manual,Available in 2 colors,Lunar White (#f3f3f5); Ash Grey (#b7bec4),N/A
Tata,Harrier Fearless Plus Stealth Edition AT,₹30.70 L,Diesel,Automatic,Available in 1 colors,Stealth Black (#15161a),N/A
Tata,Harrier Smart,₹17.45 L,Diesel,Manual,Available in 2 colors,Ash Grey (#b7bec4); Lunar White (#f3f3f5),N/A
Tata,Harrier Smart (O),₹18.43 L,Diesel,Manual,Available in 2 colors,Ash Grey (#b7bec4); Lunar White (#f3f3f5),N/A
Tata,Harrier Pure,₹19.33 L,Diesel,Manual,Available in 2 colors,Ash Grey (#b7bec4); Lunar White (#f3f3f5),N/A
Tata,Harrier Pure (O),₹19.91 L,Diesel,Manual,Available in 2 colors,Ash Grey (#b7bec4); Lunar White (#f3f3f5),N/A
Tata,Harrier Pure Plus,₹21.29 L,Diesel,Manual,Available in 2 colors,Ash Grey (#b7bec4); Lunar White (#f3f3f5),N/A
Tata,Harrier Pure Plus S Dark Edition,₹21.98 L,Diesel,Manual,Available in 1 colors,Oberon Black (#18191e),N/A
Tata,Harrier Pure Plus AT,₹22.21 L,Diesel,Automatic,Available in 2 colors,Ash Grey (#b7bec4); Lunar White (#f3f3f5),N/A
Tata,Harrier Adventure,₹22.44 L,Diesel,Manual,Available in 4 colors,Coral Red (#aa1b17); Lunar White (#f3f3f5); Pebble Grey (#55545a); Seaweed Green (#2a2f19),N/A
